"AnimalID","CD4","CD8","CD4.Naive","CD4.Memory","CD4.Effector","CD4.CD25.FoxP3","CD4.CD127lo.CD25","CD4.KI67","CD4.Naive.KI67","CD4.Memory.KI67","CD4.Effector.KI67","CD8.Naive","CD8.Memory","CD8.Effector","CD8.KI67","CD8.Naive.KI67","CD8.Memory.KI67","CD8.Effector.KI67","CD3neg.CD8pos.NKG2a","CD3neg.CD8pos.NKG2a.CD56neg.CD16pos","CD3neg.CD8pos.NKG2a.CD56pos.CD16pos","CD3neg.CD8pos.NKG2a.CD56pos.CD16neg","CD4.CCR5","CD4.Naive.CCR5","CD4.Memory.CCR5","CD4.Effector.CCR5","CD4.38pos.DRpos","CD4.Naive.38pos.DRpos","CD4.Mem.38pos.DRpos","CD4.Effector.38pos.DRpos","CD8.CCR5","CD8.Naive.CCR5","CD8.Memory.CCR5","CD8.Effector.CCR5","CD8.38pos.DRpos","CD8.Naive.38pos.DRpos","CD8.Mem.38pos.DRpos","CD8.Effector.38pos.DRpos","Monocytes.DRpos.CD14pos","Monocytes.DRpos.CD14pos.CD80","Monocytes.DRpos.CD14pos.CD83","Monocytes.DRpos.CD14pos.CD86","Monocytes.DRpos.CD14pos.CD80pos.CD83pos.CD86pos","Bcells","Bcells.CD80","Bcells.CD83","Bcells.CD86","Bcells.CD80pos.CD83pos.CD86pos","mDCs","mDCs.CD80","mDCs.CD83","mDCs.CD86","pDCs","pDCs.CD83","pDCs.CD86","CD4.IFN","CD4.IL4","CD4.IL17","CD4.TNF","CD4.IFNpos.IL4neg.IL17neg.TNFpos","CD8.IFN","CD8.IL4","CD8.IL17","CD8.TNF","CD8.IFNpos.IL4neg.IL17neg.TNFpos","CD4.Mem.IFN","CD4.Mem.IL4","CD4.Mem.IL17","CD4.Mem.TNF","CD4.Mem.IFNpos.IL4neg.IL17neg.TNFpos","CD4.EFF.IFN","CD4.EFF.IL4","CD4.EFF.IL17","CD4.EFF.TNF","CD4.EFF.IFNpos.IL4neg.IL17neg.TNFpos","CD8.Mem.IFN","CD8.Mem.IL4","CD8.Mem.IL17","CD8.Mem.TNF","CD8.Mem.IFNpos.IL4neg.IL17neg.TNFpos","CD8.EFF.IFN","CD8.EFF.IL4","CD8.EFF.IL17","CD8.EFF.TNF","CD8.EFF.IFNpos.IL4neg.IL17neg.TNFpos","CD3pos.CD8pos_NKG2Apos"
43998,77.9,13.2,65.1,32.9,1.19,0.16,2.44,11.5,2.83,25.2,92.3,50.3,17.9,29.8,27.4,4.31,32.6,63.2,19,87.4,0.46,2.06,2.98,2.22,4,36,0.078,0.062,0.097,0.47,9.92,9.88,7.72,13.2,1.63,1.69,0.7,2.19,4.04,0.5,1.65,9.2,0,68.7,0.35,1.34,1.81,0,1.85,0,0,0,1.05,0,0,6.41,0.00976,2.68,22.2,4.39,27.5,0,3.34,17.7,13.1,12.4,0.026,5.94,48.2,9,60.6,0,25.8,86.4,47.8,42.1,0,4.42,38.3,25.3,39.6,0,3.12,21.9,17.4,2.55
44001,68.1,21.4,50.4,46.8,0.62,0.43,3.04,20.8,4.35,38.6,35.6,24.2,23.1,51.6,26.2,4.61,30.5,34.6,18.4,90,0.3,1.5,0.92,0.21,2.83,0,0.22,0.018,0.36,13.9,3.28,1.61,9.07,0.85,4.31,2.24,5.18,5.76,6.75,0,2.96,3.43,0,91.8,0.068,2.91,2.08,0,5.63,0,0,5.41,3.04,0,0,6,0.88,2.61,20.8,4.43,21.9,0.049,9.43,15,10.9,16.9,2.81,7.44,56.5,12.6,78.1,3.55,5.92,89.3,67.5,47.9,0.28,9.15,38.3,24.2,25.7,0.014,7.23,15.8,12.4,12.8
44011,55.8,34.4,68.2,28.6,0.4,0.5,6.57,16.6,3.66,46.8,46.6,28.1,14.4,57.1,33,7.11,37,44.7,34.6,89.4,0.94,0.83,0.82,0.42,2.72,1.64,0.39,0.14,0.92,4.92,2.18,2,5.64,0.55,7.49,4.09,4.88,11,1.62,0,2.29,8.19,0,63.4,0.15,2.77,1.14,0,4.24,0,1.69,5.08,0.65,0,0,2.95,0.35,0.84,13.8,2.25,22.8,0.12,9.09,15,10.7,14.5,1.82,4.18,51.1,11.5,58,3.41,3.41,72.7,47.7,52.3,0.27,6.5,41.7,29.6,30.2,0.079,6.13,18.4,12.8,13.4
44042,81.9,7.86,67.6,31.8,0.066,0.69,2.51,12.8,1.88,36.1,27.8,55.9,19.6,21.9,11.3,2.52,22,23.9,18.9,86.7,0.15,0.94,0.26,0.23,0.74,0,0.18,0.046,0.44,0,1.71,0.87,1.29,2.03,3.75,2.97,3.56,5.81,1.62,0.11,9.98,37.1,0,60.5,0.1,3.22,3.28,0,9.05,0,3.34,25.1,1.61,0,1.56,5.58,0.011,2.77,12.7,2.18,16.3,0,3.36,9.5,6.22,9.13,0,7.37,32.7,5.4,56.7,0,30,83.3,43.3,31.3,0,7.56,25.3,15.2,25,0,3.22,10.6,7.67,4.45
44043,69.4,22.4,55,43.1,0.58,0.76,3.04,15.6,2.19,32.4,32.7,39,26.6,32.7,14.9,2.22,21.9,24.3,17.9,90.6,0.61,1.95,1.03,1.12,1.84,4.17,0.61,0.13,1.26,0,3.97,3.33,4.75,3.25,6.38,6.25,4.85,8.19,1.09,0.19,8.38,18.1,0.19,43.2,0.31,3.95,4.24,0.026,1.39,0,0,12.5,0.58,0,0,8.18,0,3.27,22.5,5.61,30.3,0,6.23,21.6,15.9,17.3,0,7.83,46.1,11.8,72.1,0,11.1,83.7,61.6,43.9,0,9.15,39.3,26.1,42.7,0,4.89,26.3,20.4,8.49
44045,86.3,8.68,50.5,49.1,0.12,1.03,3.94,17.6,2.57,33.1,35,49.8,27.3,21.7,17.6,2.33,34.8,32,9.76,84.9,2.03,4.85,0.25,0.15,0.47,14.3,0.37,0.19,0.55,14.3,1,0.74,1.44,1.26,7.27,3.97,6.73,15.7,1.56,0.71,13,27.4,0.14,54.3,0.3,2.7,3.13,0.023,3.31,0,7.89,10.5,0.87,0,0,4.27,0,2.67,18.9,2.81,17.3,0,3.33,8.06,5,7.3,0,5.05,35.1,4.74,67.1,0,7.49,77.5,53.4,20.1,0,4.59,15.4,8.4,35,0,2.93,8.82,6.67,3.89
44051,81.4,11,68.5,31.3,0.042,0.83,3.46,9.89,1.41,28.5,25,41.3,27.1,30.3,14.2,2.86,21.3,23.7,9.36,75.8,0.51,6.85,0.31,0.33,0.66,0,0.13,0.036,0.26,8.33,0.92,0.74,1.65,0.38,4.19,3.48,3.43,6.23,0.76,0.36,4.88,7.74,0,89,0.19,2.12,1.16,0,2.19,0,2.63,15.8,6.16,0,0,4.52,0.00237,2.03,13.8,2.51,26.5,0,3.31,11.8,8.75,11.3,0,6.52,37.9,7.32,50.7,0,16.7,68.1,41,40.1,0,4.38,25.6,18.4,37.4,0,2.48,10.6,8.37,10.5
44092,59.9,28,51.8,44,1.75,1.68,6.39,23.4,5.58,43.9,42.8,26.4,14.6,57.7,35.1,12.6,46.4,42.4,52.7,90.1,0.45,0.29,1.63,1.11,2.98,5,1.18,0.58,1.61,7.22,5.14,4.86,9.01,3.39,14.8,10,11.7,18.2,3.18,0.11,2.26,4.58,0,63.6,0.2,3.08,1.97,0,3.97,0,0,1.18,1.17,8,0,7.58,0.97,1.92,20.7,5.62,26.6,0.036,9.55,15.9,11.7,18.7,2.59,5.2,51.9,13.6,86,4.5,3.15,91.4,78.4,55.2,0.18,10.1,39.7,28.6,32.5,0,6.92,15.9,12.7,9.58
44157,63.8,22.9,56.9,39.9,1.71,1.46,8.82,15.4,3.41,31.5,38.8,19.9,17.6,61.9,34.4,11.6,29.2,43.2,22.3,91.6,0.098,0.96,0.96,0.67,2.58,5.39,0.25,0.075,0.41,4.56,5.47,4.79,12.6,2.14,5.89,4.65,4.7,7.06,2.43,0.069,4.16,2.08,0,74.6,0.1,2.92,1.39,0,10.8,0,1.25,0,0.81,8.33,0,5.04,0.54,3.06,14.6,3.15,38.8,0.23,7.64,20.7,15,16,1.88,11.2,49.9,10.1,70.1,4.32,13.3,88.8,58.6,58.9,0.68,12.3,47.4,29.9,51.8,0.22,6.46,24.7,18.3,19.4
44175,59.3,32,55.7,41.9,0.73,2.7,8.78,33,10.9,61.2,72.4,9.68,13.8,75.9,34.1,13.3,37.3,36.2,9.27,86.6,1.29,1.08,0.85,0.5,2.92,0,0.31,0.026,0.74,3.03,6.52,6.02,19.8,3.06,7.16,6.68,7.25,7.49,4.69,0,4.41,7.43,0,90.2,0.07,2.89,1.8,0,7.29,0,5.56,5.56,5.8,0,0,6.24,0.52,3.71,29.4,4.22,47.5,0.12,8.08,34.4,28.4,14.4,1.38,9.61,64.8,10.2,56.9,2.03,8.81,87.8,47.5,68.3,0.24,8.15,59.6,49.2,55.7,0.085,5.4,38.1,32.2,11.6
